date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:35:47	44764/44764	---M--	200	added ('OK')	font/woff2	date:Thu,%2030%20Apr%202026%2007:09:35%20GMT	https://www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_n6.5dd16bc207dfc6d25ca8472d89387d828f610453.woff	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_n6.5dd16bc207dfc6d25ca8472d89387d828f610453.woff	(from https://www.hexadivinosdelivery.site/)
13:35:47	49160/49160	---M--	200	added ('OK')	font/woff2	date:Sat,%2013%20Jun%202026%2010:13:57%20GMT	https://www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_i6.0bb24d252a74d8be5c11aebd8e0623d0e78d962e.woff2	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_i6.0bb24d252a74d8be5c11aebd8e0623d0e78d962e.woff2	(from https://www.hexadivinosdelivery.site/)
13:35:49	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:48%20GMT	http://www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_i6.fbf64fc840abbe90ebdedde597401d7b3b9f31ef.woff	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_i6.fbf64fc840abbe90ebdedde597401d7b3b9f31ef.woff	(from https://www.hexadivinosdelivery.site/)
13:35:49	49248/49248	---M--	200	added ('OK')	font/woff2	date:Mon,%2015%20Jun%202026%2022:48:36%20GMT	https://www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_i6.fbf64fc840abbe90ebdedde597401d7b3b9f31ef.woff	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/fonts/archivo/archivo_i6.fbf64fc840abbe90ebdedde597401d7b3b9f31ef.woff	(from https://www.hexadivinosdelivery.site/)
13:35:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:50%20GMT	http://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/zoom-cursor.svg?v=45768186756727066451780917625	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/zoom-cursoreb51.svg	(from https://www.hexadivinosdelivery.site/)
13:35:51	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:52%20GMT	http://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-right.svg?v=68514796191813554541780917625	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-right7085.svg	(from https://www.hexadivinosdelivery.site/)
13:35:51	371/371	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Jul%202026%2016:35:52%20GMT	https://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/zoom-cursor.svg?v=45768186756727066451780917625	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/zoom-cursoreb51.svg	(from https://www.hexadivinosdelivery.site/)
13:35:52	225/225	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Jul%202026%2016:35:52%20GMT	https://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-right.svg?v=68514796191813554541780917625	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-right7085.svg	(from https://www.hexadivinosdelivery.site/)
13:35:52	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Wed,%2001%20Jul%202026%2016:35:52%20GMT	http://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-left.svg?v=57802358627795424921780917625	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-left516f.svg	(from https://www.hexadivinosdelivery.site/)
13:35:52	224/224	---MCZ	200	added ('OK')	image/svg+xml	date:Wed,%2001%20Jul%202026%2016:35:53%20GMT	https://www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-left.svg?v=57802358627795424921780917625	C:/Users/cieiw/Desktop/divinoburguer/divinoburguer/www.hexadivinosdelivery.site/cdn/shop/t/2/assets/arrow-left516f.svg	(from https://www.hexadivinosdelivery.site/)
